comic_id,area,photo
6793,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6793/Spider-Man 38/front.jpeg
8698,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/8698/Fantastic Four Annual 2/front.jpeg
6705,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6705/Spider-Man 30/front.jpeg
13150,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13150/fantastic four 33/front.jpeg
18589,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18589/two-gun kid 68/front.jpeg
13161,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13161/fantastic four 34/front.jpeg
13105,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13105/Fantasic Four 29/front.jpeg
6538,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6538/spider-man 15/front.jpeg
13194,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13194/fantastic four 37/front.jpeg
9787,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/9787/journey into mystery/90/front.jpeg
16096,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16096/silver surfer 1/front.jpeg
18592,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18592/two-gun kid 71/front.jpeg
11285,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/11285/tales of suspense/43/front.jpeg
18595,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18595/two-gun kid 74/front.jpeg
6571,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6571/Spider-Man 18/front.jpeg
6549,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6549/Spider-Man 16/front.jpeg
6582,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6582/Spider-Man 19/front.jpeg
6716,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6716/spider-man 31/front.jpeg
18594,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18594/two-gun kid 73/front.jpeg
18593,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/18593/two-gun kid 72/front.jpeg
12895,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12895/fantastic four 10/front.jpeg
6727,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6727/Spider-Man 32/front.jpeg
13172,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13172/fantastic four 35/front.jpeg
16894,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/16894/Amazing Spider-Man Annual 2/front.jpeg
13128,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13128/Fantasic Four 31/front.jpeg
13117,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13117/Fantasic Four 30/front.jpeg
13257,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13257/Fantastic Four 51/front.jpeg
6865,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6865/Spider-Man 47/front.jpeg
13268,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13268/Fantastic Four 61/front.jpeg
13250,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13250/Fantastic Four 45/front.jpeg
13266,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13266/fantastic four 6/front.jpeg
13259,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13259/Fantastic Four 53/front.jpeg
13261,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13261/Fantastic Four 55/front.jpeg
6494,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6494/Spider-Man 11/front.jpeg
12983,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/12983/Fantasic Four 18/front.jpeg
6638,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6638/Spider-Man 24/front.jpeg
13267,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13267/Fantastic Four 60/front.jpeg
13258,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13258/fantastic four 52/front.jpeg
13251,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13251/fantastic four 46/front.jpeg
13256,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13256/Fantastic Four 50/front.jpeg
13269,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13269/Fantastic Four 62/front.jpeg
6864,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/6864/Spider-Man 46/front.jpeg
13205,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13205/Fantastic Four 38/front.jpeg
13039,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13039/Fantasic Four 23/front.jpeg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_170739.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_171319.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_170826.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_170832.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_173130.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_171309.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_170811.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_170801.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/20241223_171329.jpg
13284,,https://raw.githubusercontent.com/johndimm/comic-photos/refs/heads/main/images/13284/Fantastic Four 76/back.jpeg
